src,dst_blocktype,dst_name
01_OB1,FC,Diagnostic
01_OB1,FC,ST10_Main
01_OB1,FB,AutoProcessDataPopUp
01_OB1,FB,FB_MES_Monitoring
01_OB1,FC,FC_Teach_Recipe_Transfer
ST10_Main,FC,ST10_Input
ST10_Main,FC,ST10_Output
ST10_Main,FC,ST10_Auto
ST10_Main,FC,ST10_Manual
ST10_Main,FC,ST10_Alarm
ST10_Main,FC,ST10_Warning
ST10_Main,FC,ST10_Tip
ST10_Main,FC,CylinderCtrl_V2
ST10_Main,FC,ST10Cyl_interface1-10
ST10_Main,FC,ST10Cyl_interface11-20
ST10_Main,FC,ST10Cyl_interface21-30
ST10_Main,FC,ST10Cyl_interface31-40
ST10_Main,FC,ST10Cyl_interface41-50
ST10_Main,FC,ST10Cyl_interface51-60
ST10_Main,FC,ST10Cyl_interface61-70
ST10_Main,FC,ST10Cyl_interface71-80
ST10_Main,FC,ST10Cyl_interface81-90
ST10_Main,FC,ST10_ChangeOver
ST10_Main,FC,ST10_Device
ST10_Main,FC,MES
ST10_Main,FB,ST10_CountCycleTimeMain
ST10_Main,FB,SystemMode
ST10_Output,FB,FB_Tower_4Lamp
ST10_Flow6_ToolCodeScan,FB,SysFlowCtrlGraph
ST10_Flow1_A1TableScan,FB,SysFlowCtrlGraph
ST10_Flow2_A1TableUnloading,FB,SysFlowCtrlGraph
ST10_Flow3_A1RotaryShaftScan,FB,SysFlowCtrlGraph
ST10_Flow11_A2TableScan,FB,SysFlowCtrlGraph
ST10_Flow12_A2TableUnloading,FB,SysFlowCtrlGraph
ST10_Flow14_B2Press,FB,SysFlowCtrlGraph
ST10_Flow4_B1Press,FB,SysFlowCtrlGraph
ST10_Flow7_CGlueing,FB,SysFlowCtrlGraph
ST10_Flow15_FRobot_3,FB,SysFlowCtrlGraph
ST10_Flow5_FRobot_1,FB,SysFlowCtrlGraph
ST10_Flow8_FRobot_2,FB,SysFlowCtrlGraph
ST10_Flow21_HShaftLifting,FB,SysFlowCtrlGraph
ST10_Flow25_HShaftLoad&Unload,FB,SysFlowCtrlGraph
ST10_Flow22_JMagnetLifting,FB,SysFlowCtrlGraph
ST10_Flow26_JMagnetLoad&Unload,FB,SysFlowCtrlGraph
ST10_Flow24_LUnloadingTrans,FB,SysFlowCtrlGraph
ST10_Flow28_LUnloadingLoad&Unload,FB,SysFlowCtrlGraph
ST10_Flow23_KReserveLifting,FB,SysFlowCtrlGraph
