name,type,language,memory_layout,category,relpath
ATEQRecipe,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/ATEQRecipe.xml
Check,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/Check.xml
Cyl,PlcStruct,TYPE,,PLC data type,PLC data types/03 FunctionBlocks/101 Cylinder/101.1 UDT/Cyl.xml
FixtureCheck_UDT,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/100 FixtureCheck/FixtureCheck_UDT.xml
HMI_Axis,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/IAIStructS/HMI_Axis.xml
IAI Input Struct,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/IAIStructS/IAI Input Struct.xml
IAI Output Struct,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/IAIStructS/IAI Output Struct.xml
IAI Par Struct,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/IAIStructS/IAI Par Struct.xml
KISTLER_HMI_DATA,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/Kistler/06_KISTLER/KISTLER_HMI_DATA.xml
KISTLER_TO_PLC,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/Kistler/06_KISTLER/KISTLER_TO_PLC.xml
KukaRobot_HMI,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/KukaRobot/KukaRobot_HMI.xml
KukaRobot_SysInput,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/KukaRobot/KukaRobot_SysInput.xml
KukaRobot_SysOutput,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/KukaRobot/KukaRobot_SysOutput.xml
KukaRobot_UserInput_1,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/KukaRobot/KukaRobot_UserInput_1.xml
KukaRobot_UserInput_2,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/KukaRobot/KukaRobot_UserInput_2.xml
KukaRobot_UserInput_3,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/KukaRobot/KukaRobot_UserInput_3.xml
KukaRobot_UserOutput_1,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/KukaRobot/KukaRobot_UserOutput_1.xml
KukaRobot_UserOutput_2,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/KukaRobot/KukaRobot_UserOutput_2.xml
KukaRobot_UserOutput_3,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/KukaRobot/KukaRobot_UserOutput_3.xml
MaterialGateUDT,PlcStruct,TYPE,,PLC data type,PLC data types/03 FunctionBlocks/105 MaterialGate/MaterialGateUDT.xml
ModeGenStruct,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/IAIStructS/ModeStructs/ModeGenStruct.xml
ModeOutStruct,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/IAIStructS/ModeStructs/ModeOutStruct.xml
Motor_Control,PlcStruct,TYPE,,PLC data type,PLC data types/03 FunctionBlocks/202 Conveyer_Line/202.1 UDT/Motor_Control.xml
OP40_Data,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/Kistler/OP40_Data.xml
PLC_TO_KISTLER,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/Kistler/06_KISTLER/PLC_TO_KISTLER.xml
PartCodeStruct_UDT,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/104 PartDataManage/104.1 UDT/PartCodeStruct_UDT.xml
PartDataHMI,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/104 PartDataManage/104.1 UDT/PartDataHMI.xml
PartData_UDT,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/104 PartDataManage/104.1 UDT/PartData_UDT.xml
PartStatus_Enum,PlcStruct,TYPE,,PLC data type,PLC data types/PartStatus_Enum.xml
PosList,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/Sevro/PosList.xml
PosList_IAI,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/Sevro/PosList_IAI.xml
PresserRecipe,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/PresserRecipe.xml
ProcessDatad,PlcStruct,TYPE,,PLC data type,PLC data types/ProcessData/ProcessDatad.xml
RCS_CountCycleTime_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_CountCycleTime_V1.xml
RCS_KeyenceSR1000_HMI,PlcStruct,TYPE,,PLC data type,PLC data types/KeyenceSR1000/02_PLCDataType/RCS_KeyenceSR1000_HMI.xml
RCS_KeyenceSR1000_Input,PlcStruct,TYPE,,PLC data type,PLC data types/KeyenceSR1000/02_PLCDataType/RCS_KeyenceSR1000_Input.xml
RCS_KeyenceSR1000_Output,PlcStruct,TYPE,,PLC data type,PLC data types/KeyenceSR1000/02_PLCDataType/RCS_KeyenceSR1000_Output.xml
RCS_PMInterface_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_PMInterface_V1.xml
RCS_SysAlarmWarning_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_SysAlarmWarning_V1.xml
RCS_SysAuto_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_SysAuto_V1.xml
RCS_SysCmd_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_SysCmd_V1.xml
RCS_SysComInterface_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_SysComInterface_V1.xml
RCS_SysCount_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_SysCount_V1.xml
RCS_SysCycleTime_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_SysCycleTime_V1.xml
RCS_SysManual_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_SysManual_V1.xml
RCS_SysSafety_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_SysSafety_V1.xml
RCS_SysStatus_V1,PlcStruct,TYPE,,PLC data type,PLC data types/00 Sys/UDT/RCS_SysStatus_V1.xml
RCS_typeAteqF620Visual,PlcStruct,TYPE,,PLC data type,PLC data types/03 FunctionBlocks/211 ATEQ LeakTest/RCS_typeAteqF620Visual.xml
RecipeAxis,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/210 Recipe/RecipeAxis.xml
ST_GeneralAnalog,PlcStruct,TYPE,,PLC data type,PLC data types/03 FunctionBlocks/212 Analog/212.1.1 UDT/ST_GeneralAnalog.xml
ST_Stopper,PlcStruct,TYPE,,PLC data type,PLC data types/03 FunctionBlocks/201 Stopper/201.1 UDT/ST_Stopper.xml
SafetyGateUDT,PlcStruct,TYPE,,PLC data type,PLC data types/03 FunctionBlocks/102 SafetyGate/102.1 UDT/SafetyGateUDT.xml
ServoType_UDT,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/Sevro/ServoType_UDT.xml
StaProcessData,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/StaProcessData.xml
TableProcessData,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/TableProcessData.xml
UDT_Gripper_Fixture_Codes,PlcStruct,TYPE,,PLC data type,PLC data types/_PARAMETERS_RECIPES/UDT_Gripper_Fixture_Codes.xml
UDT_IAI_Axis_Positions,PlcStruct,TYPE,,PLC data type,PLC data types/_PARAMETERS_RECIPES/UDT_IAI_Axis_Positions.xml
UDT_LabelFeeder,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/UDT_LabelFeeder.xml
UDT_MES_Monitoring,PlcStruct,TYPE,,PLC data type,PLC data types/MES/UDT_MES_Monitoring.xml
UDT_MES_Monitoring_station,PlcStruct,TYPE,,PLC data type,PLC data types/MES/UDT_MES_Monitoring_station.xml
UDT_Marking CharToASCII,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/UDT_Marking CharToASCII.xml
UDT_Marking StringToChar,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/UDT_Marking StringToChar.xml
UDT_Motion_Point_IAI,PlcStruct,TYPE,,PLC data type,PLC data types/_PARAMETERS_RECIPES/UDT_Motion_Point_IAI.xml
UDT_Motion_Point_V90,PlcStruct,TYPE,,PLC data type,PLC data types/_PARAMETERS_RECIPES/UDT_Motion_Point_V90.xml
UDT_OP10_Recipe_diff,PlcStruct,TYPE,,PLC data type,PLC data types/UDT_OP10_Recipe_diff.xml
UDT_OP10_Recipe_type,PlcStruct,TYPE,,PLC data type,PLC data types/_PARAMETERS_RECIPES/UDT_OP10_Recipe_type.xml
UDT_RECIPE,PlcStruct,TYPE,,PLC data type,PLC data types/_PARAMETERS_RECIPES/UDT_RECIPE.xml
UDT_Recipe_ATEQ,PlcStruct,TYPE,,PLC data type,PLC data types/_PARAMETERS_RECIPES/UDT_Recipe_ATEQ.xml
UDT_Recipe_PressCurve,PlcStruct,TYPE,,PLC data type,PLC data types/_PARAMETERS_RECIPES/UDT_Recipe_PressCurve.xml
UDT_StaProcessData,PlcStruct,TYPE,,PLC data type,PLC data types/500 User/UDT_StaProcessData.xml
UDT_StopperInterface,PlcStruct,TYPE,,PLC data type,PLC data types/RCS-PPK/51 Stopper/UDT/UDT_StopperInterface.xml
UDT_Stopper_FB,PlcStruct,TYPE,,PLC data type,PLC data types/03 FunctionBlocks/201 Stopper/UDT_Stopper_FB.xml
UDT_V90_Axis_Positions,PlcStruct,TYPE,,PLC data type,PLC data types/_PARAMETERS_RECIPES/UDT_V90_Axis_Positions.xml
WriteProcessData,PlcStruct,TYPE,,PLC data type,PLC data types/LXL/Kistler/WriteProcessData.xml
Default variable table,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/Default variable table.xml
Flow,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/Flow.xml
IV3,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/IV3.xml
Lifting,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/Lifting.xml
MES_NGCode,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/MES_NGCode.xml
MES_TotalResult,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/MES_TotalResult.xml
Marking,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/Marking.xml
NGSensor,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/NGSensor.xml
PLCIO_DI,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/IO/PLCIO_DI.xml
PLCIO_DQ,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/IO/PLCIO_DQ.xml
PartType,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/PartType.xml
ProcessResult,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/ProcessResult.xml
RFID,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/RFID.xml
RemoteIO_DI_1,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/IO/RemoteIO_DI_1.xml
RemoteIO_DI_2,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/IO/RemoteIO_DI_2.xml
RemoteIO_DO_1,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/IO/RemoteIO_DO_1.xml
RemoteIO_DO_2,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/IO/RemoteIO_DO_2.xml
STEP7 classic symbols,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/STEP7 classic symbols.xml
TestResult,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/TestResult.xml
partstatus,SW.Tags.PlcTagTable,TAGS,,PLC tags,PLC tags/constant/partstatus.xml
AutoProcessDataPopUp,FB,SCL,Optimized,Program block,Program blocks/OP010/03_Auto/HMI/AutoProcessDataPopUp.xml
Axis_FB,FB,SCL,Standard,Program block,Program blocks/OP010/10_Device/22_IAI/Axis_FB.xml
Call_KeyenceCheckerIV,FB,SCL,Optimized,Program block,Program blocks/OP010/10_Device/21_IV3/Call_KeyenceCheckerIV.xml
CheckPositioningOrder,FB,LAD,Optimized,Program block,Program blocks/OP010/10_Device/25_V90/Patch/CheckPositioningOrder.xml
Count_CycleTime,FB,SCL,Optimized,Program block,Program blocks/00 Sys/FC&FB/Count_CycleTime.xml
Count_CycleTime_V3,FB,SCL,Optimized,Program block,Program blocks/00 Sys/FC&FB/Count_CycleTime_V3.xml
DT-Chars,FB,SCL,Standard,Program block,Program blocks/OP010/11_MES/DT-Chars.xml
FB_Analog,FB,LAD,Optimized,Program block,Program blocks/03_Device/212 Analog/FB_Analog.xml
FB_AteqF620,FB,SCL,Standard,Program block,Program blocks/03_Device/211 ATEQ LeakTest/FB_AteqF620.xml
FB_MES_Monitoring,FB,SCL,Optimized,Program block,Program blocks/__MES MONITORING/FB_MES_Monitoring.xml
FB_NG_Box_Control,FB,SCL,Optimized,Program block,Program blocks/OP010/10_Device/29_NG/FB_NG_Box_Control.xml
FB_Next,FB,SCL,Optimized,Program block,Program blocks/03 FunctionBlocks/999 Base/999.0 General/999.0.3 FB/FB_Next.xml
FB_Stopper,FB,LAD,Standard,Program block,Program blocks/03 FunctionBlocks/201 Stopper/201.3 FB/FB_Stopper.xml
FB_Tower_4Lamp,FB,LAD,Optimized,Program block,Program blocks/03 FunctionBlocks/003 Tower_Lamp/3.2Tower_4色塔灯/FB_Tower_4Lamp.xml
IAI_BASE_FB,FB,SCL,Standard,Program block,Program blocks/OP010/10_Device/22_IAI/IAI_BASE_FB.xml
IAI_Position,FB,LAD,Optimized,Program block,Program blocks/OP010/10_Device/22_IAI/IAI_Position.xml
KeyenceSR1000Ctrl,FB,SCL,Standard,Program block,Program blocks/KeyenceSR1000/01_ProgramBlocks/KeyenceSR1000Ctrl.xml
KistlerPresser _FB,FB,SCL,Standard,Program block,Program blocks/OP010/10_Device/23_Kistler/KistlerPresser _FB.xml
KukaRobot1_Ctrl,FB,SCL,Standard,Program block,Program blocks/OP010/10_Device/24_Robot/KukaRobot1_Ctrl.xml
KukaRobot2_Ctrl,FB,SCL,Standard,Program block,Program blocks/OP010/10_Device/24_Robot/KukaRobot2_Ctrl.xml
KukaRobot3_Ctrl,FB,SCL,Standard,Program block,Program blocks/OP010/10_Device/24_Robot/KukaRobot3_Ctrl.xml
MES Check_fb,FB,LAD,Optimized,Program block,Program blocks/OP010/11_MES/MES Check_fb.xml
MES_CHeck,FB,LAD,Optimized,Program block,Program blocks/OP010/11_MES/MES_CHeck.xml
MaterialGate,FB,LAD,Standard,Program block,Program blocks/03_Device/102 SafetyGate/MaterialGate.xml
MotorContro,FB,LAD,Optimized,Program block,Program blocks/03 FunctionBlocks/202 Conveyer_Line/202.3 FB/MotorContro.xml
NG,FB,LAD,Optimized,Program block,Program blocks/OP010/10_Device/29_NG/NG.xml
NG,FB,LAD,Optimized,Program block,Program blocks/OP010/10_Device/29_NG/OLD SHIT/NG.xml
NGStatus,FB,LAD,Optimized,Program block,Program blocks/OP010/10_Device/29_NG/NGStatus.xml
NGStatus,FB,LAD,Optimized,Program block,Program blocks/OP010/10_Device/29_NG/OLD SHIT/NGStatus.xml
NG_BOXES,FB,SCL,Optimized,Program block,Program blocks/OP010/10_Device/29_NG/NG_BOXES.xml
PartDataManage,FB,SCL,Optimized,Program block,Program blocks/500 User/104 PartDataManage/104.3 FB/PartDataManage.xml
SINA_PARA_S,FB,SCL,Optimized,Program block,Program blocks/OP010/10_Device/25_V90/V90_Standard/SINA_PARA_S.xml
SINA_POS,FB,SCL,Optimized,Program block,Program blocks/OP010/10_Device/25_V90/V90_Standard/SINA_POS.xml
ST10_CountCycleTimeMain,FB,LAD,Optimized,Program block,Program blocks/OP010/09_Count_CycleTime/ST10_CountCycleTimeMain.xml
ST10_FB_S7connect,FB,LAD,Optimized,Program block,Program blocks/OP010/10_Device/09_CuringOven/ST10_FB_S7connect.xml
ST10_Flow11_A2TableScan,FB,GRAPH,,Program block,Program blocks/OP010/03_Auto/A2_TableLoad&Scan/ST10_Flow11_A2TableScan.xml
