block,top,unique_symbols
ST10_Alarm,ST10_DeviceError,109
ST10_Alarm,ST10_GlobalError,44
ST10_Alarm,PalletNGData,36
ST10_Alarm,PilzData,29
ST10_Alarm,AutoProcessControl,16
ST10_Alarm,ST10_Flow26_JMagnetLoad&Unload_iDB,11
ST10_Alarm,ST10_Flow27_KReserveLoad&Unload_iDB,11
ST10_Alarm,ST10_Flow25_HShaftLoad&Unload_iDB,10
ST10_Alarm,Station_Sys,10
ST10_Alarm,KukaRobot1_CtrlDB,7
ST10_Alarm,KukaRobot3_CtrlDB,7
ST10_Alarm,ST10_Flow28_LUnloadingLoad&Unload_IiDB,6
ST10_Alarm,GluingControl,5
ST10_Alarm,KukaRobot2_CtrlDB,5
ST10_Alarm,ST10_SysInput,3
ST10_Alarm,ServoV90_A1,3
ST10_Alarm,ServoV90_A2,3
ST10_Alarm,ServoV90_A3,3
ST10_Alarm,DB_maXYmosNC1,2
ST10_Alarm,DB_maXYmosNC2,2
ST10_Alarm,DiagnosticDataBlock,2
ST10_Alarm,ST10_Flow2_A1TableUnloading_iDB,2
ST10_Alarm,ST10_PLC_GetDB,2
ST10_Alarm,ST10_SysOutput,2
ST10_Alarm,ServoV90_A4,2
ST10_Alarm,TON,2
ST10_Alarm,AlwaysFALSE,1
ST10_Alarm,AlwaysTRUE,1
ST10_Alarm,Axis_FB_DB,1
ST10_Alarm,ChangeOver_DB,1
ST10_Alarm,DB_KeyenceCheckerIV3,1
ST10_Alarm,H-shaftPalletEmptyCheck1,1
ST10_Alarm,H-shaftPalletEmptyCheck2,1
ST10_Alarm,H-shaftPalletEmptyCheck3,1
ST10_Alarm,J-mganePalletEmptyCheck1,1
ST10_Alarm,J-mganePalletEmptyCheck2,1
ST10_Alarm,J-mganePalletEmptyCheck3,1
ST10_Alarm,K-reservePalletEmptyCheck1,1
ST10_Alarm,K-reservePalletEmptyCheck2,1
ST10_Alarm,K-reservePalletEmptyCheck3,1
ST10_Alarm,KeyenceSR1000Ctrl_800A1DB,1
ST10_Alarm,KeyenceSR1000Ctrl_801A1DB,1
ST10_Alarm,KeyenceSR1000Ctrl_804A1DB,1
ST10_Alarm,KeyenceSR1000Ctrl_805A1DB,1
ST10_Alarm,KeyenceSR1000Ctrl_806A1DB,1
ST10_Alarm,L-UnloadinPalletEmptyCheck1,1
ST10_Alarm,L-UnloadinPalletEmptyCheck2,1
ST10_Alarm,L-UnloadinTakeGateDetection,1
ST10_Alarm,MotorControl,1
ST10_Alarm,ST10Cylinder,1
ST10_Alarm,ST10_Flow12_A2TableUnloading_iDB,1
ST10_Alarm,ST10_Flow15_FRobot_3_iDB,1
ST10_Alarm,ST10_Flow21_HShaftLifting_iDB,1
ST10_Alarm,ST10_Flow22_JMagnetLifting_iDB,1
ST10_Alarm,ST10_Flow23_KReserveLifting_iDB,1
ST10_Alarm,ST10_Flow24_LUnloadingTrans_iDB,1
ST10_Alarm,ST10_Flow5_FRobot_1_iDB,1
ST10_Alarm,ST10_Flow8_FRobot_2_iDB,1
ST10_Alarm,iALightCurtain_1,1
ST10_Alarm,iALightCurtain_2,1
ST10_Alarm,iH-shaftLiftingPalletDischarge,1
ST10_Alarm,iH-shaftLoadingDetection2,1
ST10_Alarm,iH-shaftLoadingDetection3,1
ST10_Alarm,iH-shaftLoadingDetection4,1
ST10_Alarm,iH-shaftTakeDetection1,1
ST10_Alarm,iH-shaftTakeDetection2,1
ST10_Alarm,iH-shaftTakeDetection3,1
ST10_Alarm,iH-shaftTakeGateDetection,1
ST10_Alarm,iH-shaftTakeShaftDetection,1
ST10_Alarm,iJ-magnetLiftingPalletDischargeDetection,1
ST10_Alarm,iJ-magnetLoadingDetection2,1
ST10_Alarm,iJ-magnetLoadingDetection3,1
ST10_Alarm,iJ-magnetLoadingDetection4,1
ST10_Alarm,iJ-magnetTakeDetection1,1
ST10_Alarm,iJ-magnetTakeDetection2,1
ST10_Alarm,iJ-magnetTakeDetection3,1
ST10_Alarm,iJ-magnetTakeGateDetection,1
ST10_Alarm,iJ-magnetTakeShaftDetection,1
ST10_Alarm,iK-reserveLifting3PalletDischargeDetection,1
ST10_Alarm,iK-reserveLoadingDetection2,1
ST10_Alarm,iK-reserveLoadingDetection3,1
ST10_Alarm,iK-reserveLoadingDetection4,1
ST10_Alarm,iK-reserveTakeDetection1,1
ST10_Alarm,iK-reserveTakeDetection2,1
ST10_Alarm,iK-reserveTakeDetection3,1
ST10_Alarm,iK-reserveTakeGateDetection,1
