KROK 1: KOMPLETNÍ SYNTAX SCAN
TIA Portal V18 GRAPH XML Export
================================================================================

Total files: 52
Unique tags: 99
================================================================================
Tag      Count
================================================================================
BooleanAttribute      73572
Member      43601
Wire      33778
MultiLanguageText      23742
StartValue      23480
NameCon      21691
AttributeList      20070
Component      14575
Part      13960
Access      13928
Wires      13550
FlgNet      13550
Parts      13550
NodeTo      10268
NodeFrom      10268
LinkType      10268
Connection      10268
Comment      10002
Section       9890
Sections       9468
Symbol       9212
Powerrail       6775
Action       6119
IdentCon       5612
Token       5218
TransitionRef       4796
Transition       4796
StepRef       4477
Constant       4463
ConstantValue       4210
Interlocks       4210
Supervision       4210
Step       4210
Interlock       4210
Supervisions       4210
Actions       4210
ConstantType       2956
TemplateValue       2918
Culture       1212
MultilingualTextItem       1212
Negated       1195
BranchRef        994
Text        817
ObjectList        606
Blank        529
Subelement        522
MultilingualText        404
Instance        366
NewLine        312
Branch        285
PermanentOperation        284
Title        271
Sequence        240
Connections        240
Steps        240
Transitions        240
ProgrammingLanguage        202
SW        202
Branches        194
OpenCon        180
LineComment        172
AlarmSupervisionCategory        160
Interface        104
Name        104
Document        104
Number        104
AutoNumber        102
NetworkSource         95
Parameter         80
Engineering         52
Namespace         52
SetENOAutomatically         44
InstanceOfName         42
InstanceOfType         42
AlarmsSettings         40
AlarmSupervisionCategories         40
AcknowledgeErrorsRequired         40
Graph         40
GraphVersion         40
PostOperations         40
PreOperations         40
Call         40
CallInfo         40
InitialValuesAcquisition         40
MemoryLayout         22
AlarmSubcategory1Warning         20
AlarmSubcategory2Interlock         20
ExtensionBlockName         20
AlarmSubcategory2Warning         20
AlarmWarningCategory         20
AlarmSubcategory1Interlock         20
AlarmInterlockCategory         20
AlarmSubcategory1Supervision         20
AlarmSubcategory2Supervision         20
AlarmCategorySupervision         20
MemoryReserve          8
AutomaticTyped          2
StructuredText          2
EndConnection          1
