Objekt,Druh,Jazyk,Deklarace,Riziko,Jistota,PříchozíVolání(call_edges),OdchozíVolání(call_edges),CallInfoNálezy(scan),TokenNálezy(scan),KomponentaNálezy(scan),HmiTagyKořen,SymbolRootČtení,SymbolRootZápis,SymbolRootNeznámé,AbsolutníDBNálezy_hint,NEŠAHAT
CheckPositioningOrder,SW.Blocks.FB,LAD,EXPORT/Program blocks/OP010/10_Device/25_V90/Patch/CheckPositioningOrder.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
DT-Chars,SW.Blocks.FB,SCL,EXPORT/Program blocks/OP010/11_MES/DT-Chars.xml,KRITICKÉ (NEŠAHAT),NÍZKÁ,0,0,0,0,0,,,,,,ANO
FB_Analog,SW.Blocks.FB,LAD,EXPORT/Program blocks/03_Device/212 Analog/FB_Analog.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
FB_AteqF620,SW.Blocks.FB,SCL,EXPORT/Program blocks/03_Device/211 ATEQ LeakTest/FB_AteqF620.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
FB_Keyence_SR1000,SW.Blocks.FB,SCL,EXPORT/Program blocks/03_Device/214_KeyenceSR X80/FB_Keyence_SR1000.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
FB_Next,SW.Blocks.FB,SCL,EXPORT/Program blocks/03_Device/999 Base/999.0 General/999.0.3 FB/FB_Next.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
FB_Step,SW.Blocks.FB,LAD,EXPORT/Program blocks/03_Device/999 Base/FB_Step.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
IAI_BASE_FB,SW.Blocks.FB,SCL,EXPORT/Program blocks/OP010/10_Device/22_IAI/IAI_BASE_FB.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
MaterialGate,SW.Blocks.FB,LAD,EXPORT/Program blocks/03_Device/102 SafetyGate/MaterialGate.xml,KRITICKÉ (NEŠAHAT),NÍZKÁ,0,0,0,0,0,,,,,,ANO
PartDataManage,SW.Blocks.FB,SCL,EXPORT/Program blocks/03_Device/104 PartDataManage/PartDataManage.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
ST10_StopperCtrl,SW.Blocks.FB,LAD,EXPORT/Program blocks/OP010/10_Device/26_Stopper/ST10_StopperCtrl.xml,KRITICKÉ (NEŠAHAT),NÍZKÁ,0,1,0,0,0,,,,,,ANO
ST10_Stopper_FB,SW.Blocks.FB,LAD,EXPORT/Program blocks/OP010/10_Device/06_Stopper/ST10_Stopper_FB.xml,KRITICKÉ (NEŠAHAT),NÍZKÁ,0,1,0,0,0,,,,,,ANO
SafetyGate,SW.Blocks.FB,LAD,EXPORT/Program blocks/03_Device/102 SafetyGate/SafetyGate.xml,KRITICKÉ (NEŠAHAT),NÍZKÁ,0,0,0,0,0,,,,,,ANO
SevroStart&PosCheck,SW.Blocks.FB,LAD,EXPORT/Program blocks/OP010/10_Device/25_V90/V90_Standard/ServoCheck/SevroStart&PosCheck.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
SevroStart&PosCheck_IAI,SW.Blocks.FB,LAD,EXPORT/Program blocks/OP010/10_Device/22_IAI/ServoCheck/SevroStart&PosCheck_IAI.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
ChangeOver,SW.Blocks.FC,SCL,EXPORT/Program blocks/02_Comm/04-ChangeOver/ChangeOver.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
CylinderModule_V2,SW.Blocks.FC,LAD,EXPORT/Program blocks/03_Device/101_Cylinder/CylinderModule_V2.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
ST10Cyl_interface91-100,SW.Blocks.FC,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface91-100.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
ST10_Analog,SW.Blocks.FC,SCL,EXPORT/Program blocks/OP010/10_Device/08_PressureAanlog/ST10_Analog.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
ST10_PartData,SW.Blocks.FC,SCL,EXPORT/Program blocks/OP010/12_PartData/ST10_PartData.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
ST10_SafetyGate,SW.Blocks.FC,SCL,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate.xml,KRITICKÉ (NEŠAHAT),NÍZKÁ,0,0,0,0,0,,,,,,ANO
fcFixtureCheck,SW.Blocks.FC,LAD,EXPORT/Program blocks/03_Device/100 FixtureCheck/fcFixtureCheck.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
块_1,SW.Blocks.FC,LAD,EXPORT/Program blocks/OP010/10_Device/25_V90/Patch/块_1.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,,,,,,NE
GeneralDebug,SW.Blocks.GlobalDB,DB,EXPORT/Program blocks/GeneralDebug.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,0,,,,,NE
OP010_MES_RecipeDB,SW.Blocks.GlobalDB,DB,EXPORT/Program blocks/OP010/08_ChangeOver/MES/OP010_MES_RecipeDB.xml,KRITICKÉ (NEŠAHAT),NÍZKÁ,0,0,0,0,0,0,,,,,ANO
PalletRelease,SW.Blocks.GlobalDB,DB,EXPORT/Program blocks/OP010/03_Auto/PalletRelease.xml,RIZIKOVÉ,NÍZKÁ,0,0,0,0,0,0,,,,,NE
Scanner1LoadData,SW.Blocks.GlobalDB,DB,EXPORT/Program blocks/OP010/11_MES/Scanner1LoadData.xml,KRITICKÉ (NEŠAHAT),NÍZKÁ,0,0,0,0,0,0,,,,,ANO
Station8UnLoadData,SW.Blocks.GlobalDB,DB,EXPORT/Program blocks/OP010/11_MES/Station8UnLoadData.xml,KRITICKÉ (NEŠAHAT),NÍZKÁ,0,0,0,0,0,0,,,,,ANO
