Objekt,Druh,Číslo,Jazyk,Cesta,Důvody,Jistota
DT-Chars,SW.Blocks.FB,2360,SCL,EXPORT/Program blocks/OP010/11_MES/DT-Chars.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
FB_Stopper,SW.Blocks.FB,4001,LAD,EXPORT/Program blocks/03_Device/201 Stopper/FB_Stopper.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
MES Check_fb,SW.Blocks.FB,110,LAD,EXPORT/Program blocks/OP010/11_MES/MES Check_fb.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
MES_CHeck,SW.Blocks.FB,111,LAD,EXPORT/Program blocks/OP010/11_MES/MES_CHeck.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
MaterialGate,SW.Blocks.FB,5210,LAD,EXPORT/Program blocks/03_Device/102 SafetyGate/MaterialGate.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_CountCycleTimeMain,SW.Blocks.FB,1009,LAD,EXPORT/Program blocks/OP010/09_Count_CycleTime/ST10_CountCycleTimeMain.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
ST10_StopperCtrl,SW.Blocks.FB,2601,LAD,EXPORT/Program blocks/OP010/10_Device/26_Stopper/ST10_StopperCtrl.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
ST10_Stopper_FB,SW.Blocks.FB,1160,LAD,EXPORT/Program blocks/OP010/10_Device/06_Stopper/ST10_Stopper_FB.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
SafetyGate,SW.Blocks.FB,5200,LAD,EXPORT/Program blocks/03_Device/102 SafetyGate/SafetyGate.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
StopperCtrl,SW.Blocks.FB,2600,LAD,EXPORT/Program blocks/OP010/10_Device/26_Stopper/01_FuncationBlock/StopperCtrl.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
MES,SW.Blocks.FC,500,LAD,EXPORT/Program blocks/OP010/11_MES/MES.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Pilz,SW.Blocks.FC,2700,LAD,EXPORT/Program blocks/OP010/10_Device/27_Pilz/Pilz.xml,Bezpečnostně-adjacentní klíčová slova: pilz,STŘEDNÍ
ST10_SafetyGate,SW.Blocks.FC,1140,SCL,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
Stopper,SW.Blocks.FC,2600,LAD,EXPORT/Program blocks/OP010/10_Device/26_Stopper/Stopper.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
MES_CheckControl,SW.Blocks.GlobalDB,2361,DB,EXPORT/Program blocks/OP010/11_MES/MES_CheckControl.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
MEStoPLC,SW.Blocks.GlobalDB,501,DB,EXPORT/Program blocks/OP010/11_MES/MEStoPLC.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
OP010_MES_RecipeDB,SW.Blocks.GlobalDB,9,DB,EXPORT/Program blocks/OP010/08_ChangeOver/MES/OP010_MES_RecipeDB.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES,SW.Blocks.GlobalDB,500,DB,EXPORT/Program blocks/OP010/11_MES/PLCtoMES.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PilzData,SW.Blocks.GlobalDB,2702,DB,EXPORT/Program blocks/OP010/10_Device/27_Pilz/PilzData.xml,Bezpečnostně-adjacentní klíčová slova: pilz,STŘEDNÍ
ST10_DBInterface_Stopper,SW.Blocks.GlobalDB,2602,DB,EXPORT/Program blocks/OP010/10_Device/26_Stopper/ST10_DBInterface_Stopper.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto",STŘEDNÍ
ST10_PMCountCycleTime,SW.Blocks.GlobalDB,1061,DB,EXPORT/Program blocks/OP010/09_Count_CycleTime/ST10_PMCountCycleTime.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
ST10_SafetyGate_InterfaceDB,SW.Blocks.GlobalDB,1140,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate_InterfaceDB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_Stopper_InterfaceDB,SW.Blocks.GlobalDB,1161,DB,EXPORT/Program blocks/OP010/10_Device/06_Stopper/ST10_Stopper_InterfaceDB.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
Scanner1LoadData,SW.Blocks.GlobalDB,530,DB,EXPORT/Program blocks/OP010/11_MES/Scanner1LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station1LoadData,SW.Blocks.GlobalDB,510,DB,EXPORT/Program blocks/OP010/11_MES/Station1LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station1UnLoadData,SW.Blocks.GlobalDB,511,DB,EXPORT/Program blocks/OP010/11_MES/Station1UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station2LoadData,SW.Blocks.GlobalDB,512,DB,EXPORT/Program blocks/OP010/11_MES/Station2LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station2UnLoadData,SW.Blocks.GlobalDB,513,DB,EXPORT/Program blocks/OP010/11_MES/Station2UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station3LoadData,SW.Blocks.GlobalDB,514,DB,EXPORT/Program blocks/OP010/11_MES/Station3LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station3UnLoadData,SW.Blocks.GlobalDB,515,DB,EXPORT/Program blocks/OP010/11_MES/Station3UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station4LoadData,SW.Blocks.GlobalDB,516,DB,EXPORT/Program blocks/OP010/11_MES/Station4LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station4UnLoadData,SW.Blocks.GlobalDB,517,DB,EXPORT/Program blocks/OP010/11_MES/Station4UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station5LoadData,SW.Blocks.GlobalDB,518,DB,EXPORT/Program blocks/OP010/11_MES/Station5LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station5UnLoadData,SW.Blocks.GlobalDB,519,DB,EXPORT/Program blocks/OP010/11_MES/Station5UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station6LoadData,SW.Blocks.GlobalDB,520,DB,EXPORT/Program blocks/OP010/11_MES/Station6LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station6UnLoadData,SW.Blocks.GlobalDB,521,DB,EXPORT/Program blocks/OP010/11_MES/Station6UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station7LoadData,SW.Blocks.GlobalDB,522,DB,EXPORT/Program blocks/OP010/11_MES/Station7LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station7UnLoadData,SW.Blocks.GlobalDB,523,DB,EXPORT/Program blocks/OP010/11_MES/Station7UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station8LoadData,SW.Blocks.GlobalDB,524,DB,EXPORT/Program blocks/OP010/11_MES/Station8LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station8UnLoadData,SW.Blocks.GlobalDB,525,DB,EXPORT/Program blocks/OP010/11_MES/Station8UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
DT-Chars_DB,SW.Blocks.InstanceDB,2360,DB,EXPORT/Program blocks/OP010/11_MES/DT-Chars_DB.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
MES_CHeck_DB,SW.Blocks.InstanceDB,111,DB,EXPORT/Program blocks/OP010/11_MES/MES_CHeck_DB.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
ST10_CountCycleTimeMain_DB,SW.Blocks.InstanceDB,1009,DB,EXPORT/Program blocks/OP010/09_Count_CycleTime/ST10_CountCycleTimeMain_DB.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
ST10_MaterialGate1_DB,SW.Blocks.InstanceDB,1151,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate1_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate2_DB,SW.Blocks.InstanceDB,1152,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate2_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate3_DB,SW.Blocks.InstanceDB,1153,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate3_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate4_DB,SW.Blocks.InstanceDB,1154,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate4_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate5_DB,SW.Blocks.InstanceDB,1155,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate5_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
