VarRef,ModuleId,EquipmentId,Název(překlad),OPC,Zapisovatelné
85A1.IM0,85A1,C34287,HMI_Control On,GarretPilz_Op10_20250814/Generic/IM/0.0,NE
85A1.IM1,85A1,C9363,HMI_Control Off,GarretPilz_Op10_20250814/Generic/IM/0.1,NE
85A1.IM16,85A1,C91484,Feedback Loop3(Light Current1),GarretPilz_Op10_20250814/Generic/IM/0.16,NE
85A1.IM17,85A1,C50089,Feedback Loop3(Light Current2),GarretPilz_Op10_20250814/Generic/IM/0.17,NE
85A1.IM18,85A1,C51623,Feedback Loop4(StoveE-Stop),GarretPilz_Op10_20250814/Generic/IM/0.18,NE
85A1.IM19,85A1,-1,,GarretPilz_Op10_20250814/Generic/IM/0.19,NE
85A1.IM2,85A1,C15184,HMI_Reset,GarretPilz_Op10_20250814/Generic/IM/0.2,NE
85A1.IM3,85A1,C63943,PLC signal,GarretPilz_Op10_20250814/Generic/IM/0.3,NE
85A1.T0M20,85A1,-1,,GarretPilz_Op10_20250814/Generic/TM/0.20,NE
85A1.T1M21,85A1,-1,,GarretPilz_Op10_20250814/Generic/TM/0.21,NE
85A1.T2M22,85A1,-1,,GarretPilz_Op10_20250814/Generic/TM/0.22,NE
85A1.T3M23,85A1,-1,,GarretPilz_Op10_20250814/Generic/TM/0.23,NE
85A1.i10,85A1,C28055,Light Current2.1,GarretPilz_Op10_20250814/Generic/I/0.10,NE
85A1.i11,85A1,C48318,Light Current2.2,GarretPilz_Op10_20250814/Generic/I/0.11,NE
85A1.i12,85A1,C56035,StoveE-Stop2.1,GarretPilz_Op10_20250814/Generic/I/0.12,NE
85A1.i13,85A1,C37632,StoveE-Stop2.2,GarretPilz_Op10_20250814/Generic/I/0.13,NE
85A1.i14,85A1,C76400,Feedback Loop1(E-stop),GarretPilz_Op10_20250814/Generic/I/0.14,NE
85A1.i15,85A1,C20037,Feedback Loop2(Safety Gate),GarretPilz_Op10_20250814/Generic/I/0.15,NE
85A1.i4,85A1,C64810,E-Stop 1.1,GarretPilz_Op10_20250814/Generic/I/0.4,NE
85A1.i5,85A1,C42405,E-Stop 1.2,GarretPilz_Op10_20250814/Generic/I/0.5,NE
85A1.i6,85A1,C99083,SafetyGate 1.1,GarretPilz_Op10_20250814/Generic/I/0.6,NE
85A1.i7,85A1,C86272,SafetyGate 1.2,GarretPilz_Op10_20250814/Generic/I/0.7,NE
85A1.i8,85A1,C62879,Light Current1.1,GarretPilz_Op10_20250814/Generic/I/0.8,NE
85A1.i9,85A1,C70846,Light Current1.2,GarretPilz_Op10_20250814/Generic/I/0.9,NE
85A1.o0,85A1,C31744,Emergency Cut off,GarretPilz_Op10_20250814/Generic/O/0.0,NE
85A1.o1,85A1,C68541,Safety Door Cut off,GarretPilz_Op10_20250814/Generic/O/0.1,NE
85A1.o2,85A1,C96949,Light Current1 Cut Off,GarretPilz_Op10_20250814/Generic/O/0.2,NE
85A1.o3,85A1,C69633,Light Current2 Cut Off,GarretPilz_Op10_20250814/Generic/O/0.3,NE
85A2.i0,85A2,C41113,Material door 1.1,GarretPilz_Op10_20250814/Generic/I/1.0,NE
