Idx,Typ,Název,EquipmentId,Moduly,Signály(VarRef),Signály(popis),ResetInput
1,TIP_SWITCH,Control On,C73000,85A1,85A1.IM0,85A1.IM0 (HMI_Control On),
2,TIP_SWITCH,Control Off,C2748,85A1,85A1.IM1,85A1.IM1 (HMI_Control Off),
3,RS_FLIP_FLOP,,-1,,,,
4,E_STOP,E-Stop_1,C61242,85A1,85A1.i4;85A1.i5,85A1.i4 (E-Stop 1.1);85A1.i5 (E-Stop 1.2),
5,E_STOP,E-Stop_1,C61242,85A1,85A1.i12;85A1.i13,85A1.i12 (StoveE-Stop2.1);85A1.i13 (StoveE-Stop2.2),
6,COPY_MODULE_INPUT_BLOCK,Feedback Loop1(E-stop),C76400,85A1,85A1.i14,85A1.i14 (Feedback Loop1(E-stop)),
7,SEMICONDUCTOR,Emergency Stop Cut off,C16069,85A1,85A1.o0,85A1.o0 (Emergency Cut off),
8,SAFETY_GATE,,-1,85A1,85A1.i6;85A1.i7,85A1.i6 (SafetyGate 1.1);85A1.i7 (SafetyGate 1.2),
9,COPY_MODULE_INPUT_BLOCK,Feedback Loop2(Safety Gate),C20037,85A1,85A1.i15,85A1.i15 (Feedback Loop2(Safety Gate)),
10,SEMICONDUCTOR,Safety Door Cut off,C68541,85A1,85A1.o1,85A1.o1 (Safety Door Cut off),
11,LIGHT_CURTAIN,,-1,85A1,85A1.i8;85A1.i9,85A1.i8 (Light Current1.1);85A1.i9 (Light Current1.2),
12,LIGHT_CURTAIN,,-1,85A1,85A1.i10;85A1.i11,85A1.i10 (Light Current2.1);85A1.i11 (Light Current2.2),
13,COPY_MODULE_INPUT_BLOCK,Feedback Loop3(Light Current1),C91484,85A1,85A1.IM16,85A1.IM16 (Feedback Loop3(Light Current1)),
14,COPY_MODULE_INPUT_BLOCK,Feedback Loop3(Light Current2),C50089,85A1,85A1.IM17,85A1.IM17 (Feedback Loop3(Light Current2)),
15,SEMICONDUCTOR,Safety Door Cut off,C68541,85A1,85A1.o2,85A1.o2 (Light Current1 Cut Off),
16,SEMICONDUCTOR,Safety Door Cut off,C68541,85A1,85A1.o3,85A1.o3 (Light Current2 Cut Off),
17,SAFETY_GATE,,-1,85A2,85A2.i0;85A2.i1,85A2.i0 (Material door 1.1);85A2.i1 (Material door 1.2),
18,SAFETY_GATE,,-1,85A2,85A2.i2;85A2.i3,85A2.i2 (Material door 2.1);85A2.i3 (Material door 2.2),
19,SAFETY_GATE,,-1,85A2,85A2.i4;85A2.i5,85A2.i4 (Material door 3.1);85A2.i5 (Material door 3.2),
20,SAFETY_GATE,,-1,85A2,85A2.i6;85A2.i7,85A2.i6 (Material door 4.1);85A2.i7 (Material door 4.2),
21,COPY_MODULE_INPUT_BLOCK,Material door1 Feedback,C9663,85A3,85A3.i0,85A3.i0 (Material door1 Feedback),
22,COPY_MODULE_INPUT_BLOCK,Material door2 Feedback,C474,85A3,85A3.i1,85A3.i1 (Material door2 Feedback),
23,COPY_MODULE_INPUT_BLOCK,Material door3 Feedback,C92576,85A3,85A3.i2,85A3.i2 (Material door3 Feedback),
24,COPY_MODULE_INPUT_BLOCK,Material door4 Feedback,C26626,85A3,85A3.i3,85A3.i3 (Material door4 Feedback),
25,SEMICONDUCTOR,Safety Door Cut off,C68541,85A2,85A2.o0,85A2.o0 (Material door 1Cut off),
26,SEMICONDUCTOR,Safety Door Cut off,C68541,85A2,85A2.o1,85A2.o1 (Material door 2Cut off),
27,SEMICONDUCTOR,Safety Door Cut off,C68541,85A2,85A2.o2,85A2.o2 (Material door 3Cut off),
28,SEMICONDUCTOR,Safety Door Cut off,C68541,85A2,85A2.o3,85A2.o3 (Material door 4Cut off),
29,SAFETY_GATE,,-1,85A3,85A3.i4;85A3.i5,85A3.i4 (Stove door Feedback1);85A3.i5 (Stove door Feedback2),
30,COPY_MODULE_INPUT_BLOCK,RobotFeedback,C42863,85A3,85A3.i6,85A3.i6 (RobotFeedback),
31,COPY_MODULE_INPUT_BLOCK,RobotDoorFeedback,C43995,85A3,85A3.i7,85A3.i7 (RobotDoorFeedback),
32,SEMICONDUCTOR,,-1,85A3,85A3.o0,85A3.o0 (Stove Cut off),
33,SEMICONDUCTOR,,-1,85A3,85A3.o1,85A3.o1 (RobotEstop Cut off),
34,SEMICONDUCTOR,,-1,85A3,85A3.o2,85A3.o2 (RobotSafetyDoor Cut off),
35,SAFETY_GATE,,-1,85A4,85A4.i0;85A4.i1,85A4.i0 (Material door 2.1);85A4.i1 (Material door 2.2),
36,SAFETY_GATE,,-1,85A4,85A4.i2;85A4.i3,85A4.i2 (Material door 4.1);85A4.i3 (Material door 4.2),
37,SAFETY_GATE,,-1,85A4,85A4.i4;85A4.i5,85A4.i4 (Material door 6.1);85A4.i5 (Material door 6.2),
38,SAFETY_GATE,,-1,85A4,85A4.i6;85A4.i7,85A4.i6 (E-NG-02-Safety Gate);85A4.i7 (E-NG-02-Safety Gate),
39,E_STOP,Robot1 Estop,C4111,85A5,85A5.i0;85A5.i1,85A5.i0 (Estop Robot1.1);85A5.i1 (Estop Robot1.2),
40,E_STOP,Robot2 Estop,C80541,85A5,85A5.i2;85A5.i3,85A5.i2 (Estop Robot2.1);85A5.i3 (Estop Robot2.2),
41,E_STOP,Robot3 Estop,C34539,85A5,85A5.i4;85A5.i5,85A5.i4 (Estop Robot3.1);85A5.i5 (Estop Robot3.2),
