caller,callee,count
ST10_CountCycleTimeMain,Count_CycleTime_V3,26
ST10_StopperCtrl,StopperCtrl,24
Motorr,MotorContro,11
SR1000,KeyenceSR1000Ctrl,8
NG,NGStatus,6
ST10_Alarm,CheckData,4
MES_CHeck,MES Check_fb,4
V90_Servo,fbV90Ctrl,4
ST10_Stopper_FB,FB_Stopper,3
ST10_Flow5_FRobot_1,SysFlowCtrlGraph,3
KistlerPresser_Main,KistlerPresser _FB,2
01_OB1,Diagnostic,1
01_OB1,ST10_Main,1
01_OB1,AutoProcessDataPopUp,1
ST10_Main,ST10_Input,1
ST10_Main,ST10_Output,1
ST10_Main,ST10_Auto,1
ST10_Main,ST10_Manual,1
ST10_Main,ST10_Alarm,1
ST10_Main,ST10_Warning,1
ST10_Main,ST10_Tip,1
ST10_Main,CylinderCtrl_V2,1
ST10_Main,ST10Cyl_interface1-10,1
ST10_Main,ST10Cyl_interface11-20,1
ST10_Main,ST10Cyl_interface21-30,1
ST10_Main,ST10Cyl_interface31-40,1
ST10_Main,ST10Cyl_interface41-50,1
ST10_Main,ST10Cyl_interface51-60,1
ST10_Main,ST10Cyl_interface61-70,1
ST10_Main,ST10Cyl_interface71-80,1
ST10_Main,ST10Cyl_interface81-90,1
ST10_Main,ST10_ChangeOver,1
ST10_Main,ST10_Device,1
ST10_Main,MES,1
ST10_Main,ST10_CountCycleTimeMain,1
ST10_Main,SystemMode,1
ST10_Output,FB_Tower_4Lamp,1
ST10_Auto,ChangeOverProcess,1
ST10_Auto,ST10_Flow1_A1TableScan,1
ST10_Auto,ST10_Flow2_A1TableUnloading,1
ST10_Auto,ST10_Flow3_A1RotaryShaftScan,1
ST10_Auto,ST10_Flow4_B1Press,1
ST10_Auto,ST10_Flow5_FRobot_1,1
ST10_Auto,ST10_Flow6_ToolCodeScan,1
ST10_Auto,ST10_Flow7_CGlueing,1
ST10_Auto,ST10_Flow8_FRobot_2,1
ST10_Auto,ST10_Flow11_A2TableScan,1
ST10_Auto,ST10_Flow12_A2TableUnloading,1
ST10_Auto,ST10_Flow14_B2Press,1
ST10_Auto,ST10_Flow15_FRobot_3,1
ST10_Auto,ST10_Flow21_HShaftLifting,1
ST10_Auto,ST10_Flow22_JMagnetLifting,1
ST10_Auto,ST10_Flow23_KReserveLifting,1
ST10_Auto,ST10_Flow24_LUnloadingTrans,1
ST10_Auto,ST10_Flow25_HShaftLoad&Unload,1
ST10_Auto,ST10_Flow26_JMagnetLoad&Unload,1
ST10_Auto,ST10_Flow27_KReserveLoad&Unload,1
ST10_Auto,ST10_Flow28_LUnloadingLoad&Unload,1
ST10_CountCycleTimeMain,Count_CycleTime,1
ST10_Device,CuringOven,1
ST10_Device,IV3,1
ST10_Device,IAI,1
ST10_Device,KistlerPresser_Main,1
ST10_Device,Robot,1
ST10_Device,SR1000,1
ST10_Device,Servo,1
ST10_Device,Motorr,1
ST10_Device,Stopper,1
ST10_Device,Pilz,1
ST10_Device,Gluing,1
ST10_Device,Pallet_NG,1
MES,MES_CHeck,1
CuringOven,ST10_FB_S7connect,1
IV3,Call_KeyenceCheckerIV,1
IAI,IAI_Position,1
IAI,Axis_FB,1
Robot,KukaRobot1_Ctrl,1
Robot,KukaRobot2_Ctrl,1
Robot,KukaRobot3_Ctrl,1
Servo,V90_Servo,1
Pilz,PilzData_fb,1
Pallet_NG,NG,1
fbV90Ctrl,SINA_POS,1
fbV90Ctrl,SINA_PARA_S,1
ST10_Flow6_ToolCodeScan,SysFlowCtrlGraph,1
ST10_Flow1_A1TableScan,SysFlowCtrlGraph,1
ST10_Flow2_A1TableUnloading,SysFlowCtrlGraph,1
ST10_Flow3_A1RotaryShaftScan,SysFlowCtrlGraph,1
ST10_Flow11_A2TableScan,SysFlowCtrlGraph,1
ST10_Flow12_A2TableUnloading,SysFlowCtrlGraph,1
ST10_Flow14_B2Press,SysFlowCtrlGraph,1
ST10_Flow4_B1Press,SysFlowCtrlGraph,1
ST10_Flow7_CGlueing,SysFlowCtrlGraph,1
ST10_Flow15_FRobot_3,SysFlowCtrlGraph,1
ST10_Flow8_FRobot_2,SysFlowCtrlGraph,1
ST10_Flow21_HShaftLifting,SysFlowCtrlGraph,1
ST10_Flow25_HShaftLoad&Unload,SysFlowCtrlGraph,1
ST10_Flow22_JMagnetLifting,SysFlowCtrlGraph,1
ST10_Flow26_JMagnetLoad&Unload,SysFlowCtrlGraph,1
ST10_Flow24_LUnloadingTrans,SysFlowCtrlGraph,1
ST10_Flow28_LUnloadingLoad&Unload,SysFlowCtrlGraph,1
ST10_Flow23_KReserveLifting,SysFlowCtrlGraph,1
ST10_Flow27_KReserveLoad&Unload,SysFlowCtrlGraph,1
