AcquisitionCycle,Connection,ControllerTag,DataType,HmiDataType,Name,SourcePath,Table
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_1[1].PartStatus,Int,Int,AutoProcessData_A_Table_1{1}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_1[2].PartStatus,Int,Int,AutoProcessData_A_Table_1{2}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_1[3].PartStatus,Int,Int,AutoProcessData_A_Table_1{3}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_1[4].PartStatus,Int,Int,AutoProcessData_A_Table_1{4}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_1[5].PartStatus,Int,Int,AutoProcessData_A_Table_1{5}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_1[6].PartStatus,Int,Int,AutoProcessData_A_Table_1{6}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_1[7].PartStatus,Int,Int,AutoProcessData_A_Table_1{7}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_1[8].PartStatus,Int,Int,AutoProcessData_A_Table_1{8}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_2[1].PartStatus,Int,Int,AutoProcessData_A_Table_2{1}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_2[2].PartStatus,Int,Int,AutoProcessData_A_Table_2{2}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_2[3].PartStatus,Int,Int,AutoProcessData_A_Table_2{3}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_2[4].PartStatus,Int,Int,AutoProcessData_A_Table_2{4}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_2[5].PartStatus,Int,Int,AutoProcessData_A_Table_2{5}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_2[6].PartStatus,Int,Int,AutoProcessData_A_Table_2{6}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_2[7].PartStatus,Int,Int,AutoProcessData_A_Table_2{7}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_Table_2[8].PartStatus,Int,Int,AutoProcessData_A_Table_2{8}_PartStatus,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Table1CodeOKFlag,Bool,Bool,AutoProcessData_GlobalData_Table1CodeOKFlag,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Table2CodeOKFlag,Bool,Bool,AutoProcessData_GlobalData_Table2CodeOKFlag,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Fixture1CodeOKFlag,Bool,Bool,AutoProcessData_GlobalData_Fixture1CodeOKFlag,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Fixture2CodeOKFlag,Bool,Bool,AutoProcessData_GlobalData_Fixture2CodeOKFlag,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot2GripperCodeOKFlag,Bool,Bool,AutoProcessData_GlobalData_Robot2GripperCodeOKFlag,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot1GripperCodeOKFlag,Bool,Bool,AutoProcessData_GlobalData_Robot1GripperCodeOKFlag,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot3GripperCodeOKFlag,Bool,Bool,AutoProcessData_GlobalData_Robot3GripperCodeOKFlag,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot1GripCodeStatus1,Int,Int,AutoProcessData_GlobalData_Robot1GripCodeStatus1,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot1GripCodeStatus2,Int,Int,AutoProcessData_GlobalData_Robot1GripCodeStatus2,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot1GripCodeStatus3,Int,Int,AutoProcessData_GlobalData_Robot1GripCodeStatus3,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot1GripCodeStatus4,Int,Int,AutoProcessData_GlobalData_Robot1GripCodeStatus4,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot2GripCodeStatus1,Int,Int,AutoProcessData_GlobalData_Robot2GripCodeStatus1,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot2GripCodeStatus2,Int,Int,AutoProcessData_GlobalData_Robot2GripCodeStatus2,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot2GripCodeStatus3,Int,Int,AutoProcessData_GlobalData_Robot2GripCodeStatus3,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot2GripCodeStatus4,Int,Int,AutoProcessData_GlobalData_Robot2GripCodeStatus4,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot3GripCodeStatus1,Int,Int,AutoProcessData_GlobalData_Robot3GripCodeStatus1,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot3GripCodeStatus2,Int,Int,AutoProcessData_GlobalData_Robot3GripCodeStatus2,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot3GripCodeStatus3,Int,Int,AutoProcessData_GlobalData_Robot3GripCodeStatus3,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.Robot3GripCodeStatus4,Int,Int,AutoProcessData_GlobalData_Robot3GripCodeStatus4,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status1,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status1,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status2,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status2,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status3,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status3,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status4,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status4,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status5,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status5,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status6,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status6,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status7,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status7,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status8,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status8,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status9,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status9,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A1Status10,Int,Int,AutoProcessData_GlobalData_FixtureCode_A1Status10,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status1,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status1,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status2,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status2,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status3,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status3,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status4,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status4,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status5,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status5,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status6,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status6,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status7,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status7,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status8,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status8,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status9,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status9,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.GlobalData.FixtureCode_A2Status10,Int,Int,AutoProcessData_GlobalData_FixtureCode_A2Status10,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,ChangeOver_DB.Global.AllFixtureScanCompareOk,Bool,Bool,ChangeOver_DB_Global_ChangeOverFinish,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,ChangeOver_DB.Global.ChangeOverRequest,Bool,Bool,ChangeOver_DB_Global_ChangeOverRequest,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,ChangeOver_DB.Global.Hmi_Confirm_ChangeOver,Bool,Bool,ChangeOver_DB_Global_Hmi_Confirm_ChangeOver,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,ChangeOver_DB.Global.ScanFixtureFlag,Bool,Bool,ChangeOver_DB_Global_ScanFixtureFlag,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,ChangeOver_DB.Global.ChangeOverSelected,Bool,Bool,ChangeOver_DB_Global_ChangeOverSelected,EXPORT/HMI tags/ChangeOverProcess.xml,ChangeOverProcess
1 s,CPU S71500-2PN_TP700,AutoProcessData.A_ScanRotate,ProcessData,ProcessData,AutoProcessData_A_ScanRotate,EXPORT/HMI tags/ProcessData.xml,ProcessData
1 s,CPU S71500-2PN_TP700,AutoProcessData.F_Robot1Grip1,ProcessData,ProcessData,AutoProcessData_F_Robot1Grip1,EXPORT/HMI tags/ProcessData.xml,ProcessData
