kind,name,number,language,source_path
SW.Blocks.FB,AutoProcessDataPopUp,1666,SCL,EXPORT/Program blocks/OP010/03_Auto/HMI/AutoProcessDataPopUp.xml
SW.Blocks.FB,Axis_FB,2200,SCL,EXPORT/Program blocks/OP010/10_Device/22_IAI/Axis_FB.xml
SW.Blocks.FB,Call_KeyenceCheckerIV,2100,SCL,EXPORT/Program blocks/OP010/10_Device/21_IV3/Call_KeyenceCheckerIV.xml
SW.Blocks.FB,CheckPositioningOrder,1,LAD,EXPORT/Program blocks/OP010/10_Device/25_V90/Patch/CheckPositioningOrder.xml
SW.Blocks.FB,Count_CycleTime,3002,SCL,EXPORT/Program blocks/02_Comm/01_Count_CycleTime/Count_CycleTime.xml
SW.Blocks.FB,Count_CycleTime_V3,3003,SCL,EXPORT/Program blocks/02_Comm/01_Count_CycleTime/Count_CycleTime_V3.xml
SW.Blocks.FB,DT-Chars,2360,SCL,EXPORT/Program blocks/OP010/11_MES/DT-Chars.xml
SW.Blocks.FB,FB_Analog,4090,LAD,EXPORT/Program blocks/03_Device/212 Analog/FB_Analog.xml
SW.Blocks.FB,FB_AteqF620,4080,SCL,EXPORT/Program blocks/03_Device/211 ATEQ LeakTest/FB_AteqF620.xml
SW.Blocks.FB,FB_Keyence_SR1000,1230,SCL,EXPORT/Program blocks/03_Device/214_KeyenceSR X80/FB_Keyence_SR1000.xml
SW.Blocks.FB,FB_Next,42,SCL,EXPORT/Program blocks/03_Device/999 Base/999.0 General/999.0.3 FB/FB_Next.xml
SW.Blocks.FB,FB_Step,5002,LAD,EXPORT/Program blocks/03_Device/999 Base/FB_Step.xml
SW.Blocks.FB,FB_Stopper,4001,LAD,EXPORT/Program blocks/03_Device/201 Stopper/FB_Stopper.xml
SW.Blocks.FB,FB_Tower_4Lamp,5050,LAD,EXPORT/Program blocks/03_Device/04 Lamp/FB_Tower_4Lamp.xml
SW.Blocks.FB,IAI_BASE_FB,2201,SCL,EXPORT/Program blocks/OP010/10_Device/22_IAI/IAI_BASE_FB.xml
SW.Blocks.FB,IAI_Position,2210,LAD,EXPORT/Program blocks/OP010/10_Device/22_IAI/IAI_Position.xml
SW.Blocks.FB,KeyenceSR1000Ctrl,1800,SCL,EXPORT/Program blocks/OP010/10_Device/18_SR1000 Scan/KeyenceSR1000Ctrl.xml
SW.Blocks.FB,KistlerPresser _FB,2300,SCL,EXPORT/Program blocks/OP010/10_Device/23_Kistler/KistlerPresser _FB.xml
SW.Blocks.FB,KukaRobot1_Ctrl,2401,SCL,EXPORT/Program blocks/OP010/10_Device/24_Robot/KukaRobot1_Ctrl.xml
SW.Blocks.FB,KukaRobot2_Ctrl,2402,SCL,EXPORT/Program blocks/OP010/10_Device/24_Robot/KukaRobot2_Ctrl.xml
SW.Blocks.FB,KukaRobot3_Ctrl,2403,SCL,EXPORT/Program blocks/OP010/10_Device/24_Robot/KukaRobot3_Ctrl.xml
SW.Blocks.FB,MES Check_fb,110,LAD,EXPORT/Program blocks/OP010/11_MES/MES Check_fb.xml
SW.Blocks.FB,MES_CHeck,111,LAD,EXPORT/Program blocks/OP010/11_MES/MES_CHeck.xml
SW.Blocks.FB,MaterialGate,5210,LAD,EXPORT/Program blocks/03_Device/102 SafetyGate/MaterialGate.xml
SW.Blocks.FB,MotorContro,3100,LAD,EXPORT/Program blocks/OP010/10_Device/31_Motor_1/MotorContro.xml
SW.Blocks.FB,NG,2901,LAD,EXPORT/Program blocks/OP010/10_Device/29_NG/NG.xml
SW.Blocks.FB,NGStatus,2900,LAD,EXPORT/Program blocks/OP010/10_Device/29_NG/NGStatus.xml
SW.Blocks.FB,PartDataManage,2,SCL,EXPORT/Program blocks/03_Device/104 PartDataManage/PartDataManage.xml
SW.Blocks.FB,SINA_PARA_S,1821,SCL,EXPORT/Program blocks/OP010/10_Device/25_V90/V90_Standard/SINA_PARA_S.xml
SW.Blocks.FB,SINA_POS,1822,SCL,EXPORT/Program blocks/OP010/10_Device/25_V90/V90_Standard/SINA_POS.xml
SW.Blocks.FB,ST10_CountCycleTimeMain,1009,LAD,EXPORT/Program blocks/OP010/09_Count_CycleTime/ST10_CountCycleTimeMain.xml
SW.Blocks.FB,ST10_FB_S7connect,900,LAD,EXPORT/Program blocks/OP010/10_Device/09_CuringOven/ST10_FB_S7connect.xml
SW.Blocks.FB,ST10_Flow11_A2TableScan,1081,GRAPH,EXPORT/Program blocks/OP010/03_Auto/A2_TableLoad&Scan/ST10_Flow11_A2TableScan.xml
