DataTypeName,ExternalAccessible,ExternalVisible,ExternalWritable,LogicalAddress,Name,SourcePath,Table
Bool,true,true,true,%I6400.0,LoadNG3_3,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6400.1,LoadNG1_4,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6400.2,LoadNG2_4,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6400.3,LoadNG3_4,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6400.4,LoadNG1_5,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6400.5,LoadNG2_5,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6400.6,LoadNG3_5,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6400.7,LoadNG_Spare,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6401.0,LoadNG1_1,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6401.1,LoadNG2_1,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6401.2,LoadNG3_1,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6401.3,LoadNG1_2,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6401.4,LoadNG2_2,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6401.5,LoadNG3_2,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6401.6,LoadNG1_3,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6401.7,LoadNG2_3,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6500.0,UnLoadNG3_3,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6500.1,UnLoadNG1_4,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6500.2,UnLoadNG2_4,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6500.3,UnLoadNG3_4,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6500.4,UnLoadNG1_5,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6500.5,UnLoadNG2_5,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6500.6,UnLoadNG3_5,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6500.7,UnLoadNG_Spare,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6501.0,UnLoadNG1_1,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6501.1,UnLoadNG2_1,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6501.2,UnLoadNG3_1,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6501.3,UnLoadNG1_2,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6501.4,UnLoadNG2_2,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6501.5,UnLoadNG3_2,EXPORT/PLC tags/NGSensor.xml,NGSensor
Bool,true,true,true,%I6501.6,UnLoadNG1_3,EXPORT/PLC tags/NGSensor.xml,NGSensor
