symbol,root,read_count,write_count,unknown_count,blocks_count,blocks,hmi_tags_count,hmi_tags,declared_in,evidence_sample
AlwaysTRUE,AlwaysTRUE,380,0,0,37,03_CYC_INT2;ChangeOverProcess;Gluing;KistlerPresser_Main;MES;MES_CHeck;Motorr;NG;Pilz;Robot;ST10_Alarm;ST10_Auto;ST10_FB_S7connect;ST10_Flow11_A2TableScan;ST10_Flow12_A2TableUnloading;ST10_Flow14_B2Press;ST10_Flow15_FRobot_3;ST10_Flow1_A1TableScan;ST10_Flow21_HShaftLifting;ST10_Flow22_JMagnetLifting;ST10_Flow23_KReserveLifting;ST10_Flow24_LUnloadingTrans;ST10_Flow25_HShaftLoad&Unload;ST10_Flow26_JMagnetLoad&Unload;ST10_Flow27_KReserveLoad&Unload;ST10_Flow28_LUnloadingLoad&Unload;ST10_Flow2_A1TableUnloading;ST10_Flow3_A1RotaryShaftScan;ST10_Flow4_B1Press;ST10_Flow5_FRobot_1;ST10_Flow6_ToolCodeScan;ST10_Flow7_CGlueing;ST10_Flow8_FRobot_2;ST10_Main;ST10_Output;ST10_Tip;V90_Servo,0,,EXPORT/PLC tags/默认变量表.xml,EXPORT/Program blocks/01_OB/03_CYC_INT2.xml:03_CYC_INT2:FlgNet | EXPORT/Program blocks/OP010/00_Main/ST10_Main.xml:ST10_Main:FlgNet | EXPORT/Program blocks/OP010/02_Output/ST10_Output.xml:ST10_Output:FlgNet | EXPORT/Program blocks/OP010/03_Auto/ST10_Auto.xml:ST10_Auto:FlgNet | EXPORT/Program blocks/OP010/05_Alarm/ST10_Alarm.xml:ST10_Alarm:FlgNet
Station_Sys.Alarm.ImmediatelyStop,Station_Sys,22,1,0,21,ST10_Alarm;ST10_Flow11_A2TableScan;ST10_Flow12_A2TableUnloading;ST10_Flow14_B2Press;ST10_Flow15_FRobot_3;ST10_Flow1_A1TableScan;ST10_Flow21_HShaftLifting;ST10_Flow22_JMagnetLifting;ST10_Flow23_KReserveLifting;ST10_Flow24_LUnloadingTrans;ST10_Flow25_HShaftLoad&Unload;ST10_Flow26_JMagnetLoad&Unload;ST10_Flow27_KReserveLoad&Unload;ST10_Flow28_LUnloadingLoad&Unload;ST10_Flow2_A1TableUnloading;ST10_Flow3_A1RotaryShaftScan;ST10_Flow4_B1Press;ST10_Flow5_FRobot_1;ST10_Flow6_ToolCodeScan;ST10_Flow7_CGlueing;ST10_Flow8_FRobot_2,0,,EXPORT/Program blocks/OP010/00_Main/Station_Sys.xml,EXPORT/Program blocks/OP010/05_Alarm/ST10_Alarm.xml:ST10_Alarm:FlgNet | EXPORT/Program blocks/OP010/03_Auto/01ChangeOver/ST10_Flow6_ToolCodeScan.xml:ST10_Flow6_ToolCodeScan:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow1_A1TableScan.xml:ST10_Flow1_A1TableScan:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow2_A1TableUnloading.xml:ST10_Flow2_A1TableUnloading:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow3_A1RotaryShaftScan.xml:ST10_Flow3_A1RotaryShaftScan:FlgNet
ST10Cylinder.Cy.In.HomePositionSensor,ST10Cylinder,179,0,0,20,ChangeOverProcess;KistlerPresser_Main;NG;ST10Cyl_interface51-60;ST10_Flow11_A2TableScan;ST10_Flow12_A2TableUnloading;ST10_Flow14_B2Press;ST10_Flow15_FRobot_3;ST10_Flow1_A1TableScan;ST10_Flow21_HShaftLifting;ST10_Flow22_JMagnetLifting;ST10_Flow23_KReserveLifting;ST10_Flow24_LUnloadingTrans;ST10_Flow2_A1TableUnloading;ST10_Flow4_B1Press;ST10_Flow5_FRobot_1;ST10_Flow7_CGlueing;ST10_Flow8_FRobot_2;ST10_StopperCtrl;ST10_Stopper_FB,0,,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cylinder.xml,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface51-60.xml:ST10Cyl_interface51-60:FlgNet | EXPORT/Program blocks/OP010/10_Device/06_Stopper/ST10_Stopper_FB.xml:ST10_Stopper_FB:FlgNet | EXPORT/Program blocks/OP010/10_Device/23_Kistler/KistlerPresser_Main.xml:KistlerPresser_Main:FlgNet | EXPORT/Program blocks/OP010/10_Device/26_Stopper/ST10_StopperCtrl.xml:ST10_StopperCtrl:FlgNet | EXPORT/Program blocks/OP010/10_Device/29_NG/NG.xml:NG:FlgNet
Station_Sys.Alarm.CycleStop,Station_Sys,22,0,0,20,ST10_Flow11_A2TableScan;ST10_Flow12_A2TableUnloading;ST10_Flow14_B2Press;ST10_Flow15_FRobot_3;ST10_Flow1_A1TableScan;ST10_Flow21_HShaftLifting;ST10_Flow22_JMagnetLifting;ST10_Flow23_KReserveLifting;ST10_Flow24_LUnloadingTrans;ST10_Flow25_HShaftLoad&Unload;ST10_Flow26_JMagnetLoad&Unload;ST10_Flow27_KReserveLoad&Unload;ST10_Flow28_LUnloadingLoad&Unload;ST10_Flow2_A1TableUnloading;ST10_Flow3_A1RotaryShaftScan;ST10_Flow4_B1Press;ST10_Flow5_FRobot_1;ST10_Flow6_ToolCodeScan;ST10_Flow7_CGlueing;ST10_Flow8_FRobot_2,0,,EXPORT/Program blocks/OP010/00_Main/Station_Sys.xml,EXPORT/Program blocks/OP010/03_Auto/01ChangeOver/ST10_Flow6_ToolCodeScan.xml:ST10_Flow6_ToolCodeScan:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow1_A1TableScan.xml:ST10_Flow1_A1TableScan:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow2_A1TableUnloading.xml:ST10_Flow2_A1TableUnloading:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow3_A1RotaryShaftScan.xml:ST10_Flow3_A1RotaryShaftScan:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A2_TableLoad&Scan/ST10_Flow11_A2TableScan.xml:ST10_Flow11_A2TableScan:FlgNet
Station_Sys.Auto.Mode,Station_Sys,150,3,0,20,Call_KeyenceCheckerIV;ChangeOverProcess;Gluing;IAI;IAI_Position;KistlerPresser_Main;MES;Motorr;NG;Robot;SR1000;ST10_Alarm;ST10_Auto;ST10_FB_S7connect;ST10_Main;ST10_Output;ST10_StopperCtrl;ST10_Tip;ST10_Warning;V90_Servo,2,ST10_Auto_Mode;Station_Sys_Auto_Mode,EXPORT/Program blocks/OP010/00_Main/Station_Sys.xml,EXPORT/Program blocks/OP010/00_Main/ST10_Main.xml:ST10_Main:FlgNet | EXPORT/Program blocks/OP010/02_Output/ST10_Output.xml:ST10_Output:FlgNet | EXPORT/Program blocks/OP010/03_Auto/ST10_Auto.xml:ST10_Auto:FlgNet | EXPORT/Program blocks/OP010/05_Alarm/ST10_Alarm.xml:ST10_Alarm:FlgNet | EXPORT/Program blocks/OP010/06_Warning/ST10_Warning.xml:ST10_Warning:FlgNet
ST10Cylinder.Cy.In.WorkPositionSensor,ST10Cylinder,131,0,0,19,ChangeOverProcess;KistlerPresser_Main;NG;Robot;ST10_Flow11_A2TableScan;ST10_Flow12_A2TableUnloading;ST10_Flow14_B2Press;ST10_Flow15_FRobot_3;ST10_Flow1_A1TableScan;ST10_Flow21_HShaftLifting;ST10_Flow22_JMagnetLifting;ST10_Flow23_KReserveLifting;ST10_Flow24_LUnloadingTrans;ST10_Flow2_A1TableUnloading;ST10_Flow4_B1Press;ST10_Flow5_FRobot_1;ST10_Flow7_CGlueing;ST10_Flow8_FRobot_2;ST10_StopperCtrl,0,,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cylinder.xml,EXPORT/Program blocks/OP010/10_Device/23_Kistler/KistlerPresser_Main.xml:KistlerPresser_Main:FlgNet | EXPORT/Program blocks/OP010/10_Device/24_Robot/Robot.xml:Robot:FlgNet | EXPORT/Program blocks/OP010/10_Device/26_Stopper/ST10_StopperCtrl.xml:ST10_StopperCtrl:FlgNet | EXPORT/Program blocks/OP010/10_Device/29_NG/NG.xml:NG:FlgNet | EXPORT/Program blocks/OP010/03_Auto/01ChangeOver/ChangeOverProcess.xml:ChangeOverProcess:FlgNet
Station_Sys.Cmd.Reset,Station_Sys,73,1,0,14,Call_KeyenceCheckerIV;Gluing;IAI;IAI_Position;KistlerPresser_Main;MES_CHeck;Motorr;Robot;SR1000;ST10_Alarm;ST10_Main;ST10_Output;ST10_StopperCtrl;V90_Servo,0,,EXPORT/Program blocks/OP010/00_Main/Station_Sys.xml,EXPORT/Program blocks/OP010/00_Main/ST10_Main.xml:ST10_Main:FlgNet | EXPORT/Program blocks/OP010/00_Main/ST10_Main.xml:ST10_Main:StructuredText | EXPORT/Program blocks/OP010/02_Output/ST10_Output.xml:ST10_Output:FlgNet | EXPORT/Program blocks/OP010/05_Alarm/ST10_Alarm.xml:ST10_Alarm:FlgNet | EXPORT/Program blocks/OP010/11_MES/MES_CHeck.xml:MES_CHeck:FlgNet
Station_Sys.Manual.Mode,Station_Sys,59,4,0,13,Call_KeyenceCheckerIV;Gluing;IAI;KistlerPresser_Main;Motorr;NG;Robot;SR1000;ST10Cyl_interface1-10;ST10_ChangeOver;ST10_Main;ST10_Output;V90_Servo,1,ST10_Manual_mode,EXPORT/Program blocks/OP010/00_Main/Station_Sys.xml,EXPORT/Program blocks/OP010/00_Main/ST10_Main.xml:ST10_Main:FlgNet | EXPORT/Program blocks/OP010/00_Main/ST10_Main.xml:ST10_Main:StructuredText | EXPORT/Program blocks/OP010/02_Output/ST10_Output.xml:ST10_Output:FlgNet | EXPORT/Program blocks/OP010/08_ChangeOver/ST10_ChangeOver.xml:ST10_ChangeOver:FlgNet | EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface1-10.xml:ST10Cyl_interface1-10:StructuredText
Station_Sys.Cmd.OnOffLine,Station_Sys,45,1,0,11,MES_CHeck;ST10_ChangeOver;ST10_Flow11_A2TableScan;ST10_Flow14_B2Press;ST10_Flow15_FRobot_3;ST10_Flow1_A1TableScan;ST10_Flow3_A1RotaryShaftScan;ST10_Flow4_B1Press;ST10_Flow5_FRobot_1;ST10_Flow7_CGlueing;ST10_Flow8_FRobot_2,0,,EXPORT/Program blocks/OP010/00_Main/Station_Sys.xml,EXPORT/Program blocks/OP010/08_ChangeOver/ST10_ChangeOver.xml:ST10_ChangeOver:FlgNet | EXPORT/Program blocks/OP010/11_MES/MES_CHeck.xml:MES_CHeck:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow1_A1TableScan.xml:ST10_Flow1_A1TableScan:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow3_A1RotaryShaftScan.xml:ST10_Flow3_A1RotaryShaftScan:FlgNet | EXPORT/Program blocks/OP010/03_Auto/A2_TableLoad&Scan/ST10_Flow11_A2TableScan.xml:ST10_Flow11_A2TableScan:FlgNet
AlwaysFALSE,AlwaysFALSE,26,0,0,10,03_CYC_INT2;Robot;ST10_Alarm;ST10_Flow11_A2TableScan;ST10_Flow14_B2Press;ST10_Flow4_B1Press;ST10_Flow6_ToolCodeScan;ST10_Flow7_CGlueing;ST10_Main;ST10_Tip,0,,EXPORT/PLC tags/默认变量表.xml,EXPORT/Program blocks/01_OB/03_CYC_INT2.xml:03_CYC_INT2:FlgNet | EXPORT/Program blocks/OP010/00_Main/ST10_Main.xml:ST10_Main:FlgNet | EXPORT/Program blocks/OP010/05_Alarm/ST10_Alarm.xml:ST10_Alarm:FlgNet | EXPORT/Program blocks/OP010/07_Tip/ST10_Tip.xml:ST10_Tip:FlgNet | EXPORT/Program blocks/OP010/10_Device/24_Robot/Robot.xml:Robot:FlgNet
