unused_block,candidate_twin,match_type,token_jaccard,candidate_in_degree,candidate_reachable
ST10_SafetyGate,SafetyGate,strong_name:no_ctrl,,0,unknown
ST10_StopperCtrl,ST10_Stopper_FB,strong_name:no_ctrl,,0,unknown
ST10_StopperCtrl,Stopper,strong_name:no_ctrl,,1,yes
ST10_StopperCtrl,StopperCtrl,strong_name:no_ctrl,,1,unknown
ST10_Stopper_FB,ST10_StopperCtrl,strong_name:no_ctrl,,0,unknown
ST10_Stopper_FB,Stopper,strong_name:no_ctrl,,1,yes
ST10_Stopper_FB,StopperCtrl,strong_name:no_ctrl,,1,unknown
SafetyGate,ST10_SafetyGate,strong_name:no_ctrl,,0,unknown
ChangeOver,ST10_ChangeOver,strong_name:no_ctrl,,1,yes
CylinderModule_V2,CylinderCtrl_V2,strong_name:no_ctrl,,1,yes
CylinderModule_V2,ST10Cylinder,strong_name:no_ctrl,,0,unknown
CylinderModule_V2,CylinderCtrl_V2,name+tokens,0.456,1,yes
FB_Analog,ST10_Analog,strong_name:no_ctrl,,0,unknown
FB_Keyence_SR1000,KeyenceSR1000Ctrl,strong_name:no_ctrl,,1,yes
FB_Keyence_SR1000,ST_KeyenceSR1000,strong_name:no_ctrl,,0,unknown
ST10_Analog,FB_Analog,strong_name:no_ctrl,,0,unknown
