TabulkaHMI,TagHMI,ControllerTag,KořenPLC,DatovýTypPLC,DatovýTypHMI,Cyklus,Spojení,ZdrojSoubor
ChangeOverProcess,AutoProcessData_A_Table_1{1}_PartStatus,AutoProcessData.A_Table_1[1].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_1{2}_PartStatus,AutoProcessData.A_Table_1[2].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_1{3}_PartStatus,AutoProcessData.A_Table_1[3].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_1{4}_PartStatus,AutoProcessData.A_Table_1[4].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_1{5}_PartStatus,AutoProcessData.A_Table_1[5].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_1{6}_PartStatus,AutoProcessData.A_Table_1[6].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_1{7}_PartStatus,AutoProcessData.A_Table_1[7].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_1{8}_PartStatus,AutoProcessData.A_Table_1[8].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_2{1}_PartStatus,AutoProcessData.A_Table_2[1].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_2{2}_PartStatus,AutoProcessData.A_Table_2[2].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_2{3}_PartStatus,AutoProcessData.A_Table_2[3].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_2{4}_PartStatus,AutoProcessData.A_Table_2[4].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_2{5}_PartStatus,AutoProcessData.A_Table_2[5].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_2{6}_PartStatus,AutoProcessData.A_Table_2[6].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_2{7}_PartStatus,AutoProcessData.A_Table_2[7].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_A_Table_2{8}_PartStatus,AutoProcessData.A_Table_2[8].PartStatus,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_GlobalData_Table1CodeOKFlag,AutoProcessData.GlobalData.Table1CodeOKFlag,AutoProcessData,Bool,Bool,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_GlobalData_Table2CodeOKFlag,AutoProcessData.GlobalData.Table2CodeOKFlag,AutoProcessData,Bool,Bool,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_GlobalData_Fixture1CodeOKFlag,AutoProcessData.GlobalData.Fixture1CodeOKFlag,AutoProcessData,Bool,Bool,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_GlobalData_Fixture2CodeOKFlag,AutoProcessData.GlobalData.Fixture2CodeOKFlag,AutoProcessData,Bool,Bool,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_GlobalData_Robot2GripperCodeOKFlag,AutoProcessData.GlobalData.Robot2GripperCodeOKFlag,AutoProcessData,Bool,Bool,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_GlobalData_Robot1GripperCodeOKFlag,AutoProcessData.GlobalData.Robot1GripperCodeOKFlag,AutoProcessData,Bool,Bool,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_GlobalData_Robot3GripperCodeOKFlag,AutoProcessData.GlobalData.Robot3GripperCodeOKFlag,AutoProcessData,Bool,Bool,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
ChangeOverProcess,AutoProcessData_GlobalData_Robot1GripCodeStatus1,AutoProcessData.GlobalData.Robot1GripCodeStatus1,AutoProcessData,Int,Int,1 s,CPU S71500-2PN_TP700,EXPORT/HMI tags/ChangeOverProcess.xml
